RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
 908.0  -3.7 -16.3  37 295   6.9       945 37.838 -75.472         2.87
 907.4  -3.8 -16.5  37 294   7.0       950 37.838 -75.472         2.89
 906.7  -3.8 -16.7  36 293   7.0       956 37.838 -75.472         2.90
 906.1  -3.8 -17.1  35 291   7.1       962 37.838 -75.472         2.92
 905.4  -3.9 -17.5  34 290   7.2       967 37.838 -75.471         2.94
 904.8  -3.9 -17.9  33 289   7.3       972 37.837 -75.471         2.95
 904.1  -3.9 -18.2  32 288   7.4       980 37.837 -75.471         2.97
 903.4  -3.9 -18.2  32 287   7.5       985 37.837 -75.471         2.99
 902.7  -3.9 -18.1  32 286   7.6       990 37.837 -75.471         3.00
 902.0  -3.9 -17.9  33 284   7.7       995 37.837 -75.471         3.02
 901.3  -3.9 -17.5  34 283   7.8      1002 37.837 -75.471         3.04
 900.6  -4.0 -17.2  35 282   7.9      1010 37.837 -75.471         3.05
 899.9  -4.0 -17.1  35 281   8.0      1016 37.837 -75.471         3.07
 899.3  -4.0 -17.0  36 280   8.1      1023 37.837 -75.470         3.09
 898.6  -4.1 -16.9  36 279   8.2      1028 37.837 -75.470         3.10
 898.0  -4.1 -16.8  36 278   8.3      1033 37.837 -75.470         3.12
 897.4  -4.1 -16.7  37 277   8.4      1038 37.837 -75.470         3.14
 896.8  -4.1 -16.6  37 276   8.5      1043 37.837 -75.470         3.15
 896.2  -4.1 -16.6  37 275   8.6      1048 37.837 -75.470         3.17
 895.7  -4.2 -16.5  37 274   8.7      1052 37.837 -75.470         3.19
 895.1  -4.2 -16.5  38 273   8.8      1057 37.837 -75.470         3.20
 894.5  -4.2 -16.6  38 272   8.8      1063 37.837 -75.470         3.22
 894.0  -4.2 -16.6  37 271   8.9      1068 37.837 -75.470         3.24
 893.4  -4.2 -16.7  37 270   9.0      1073 37.837 -75.470         3.25
 892.8  -4.2 -16.7  37 270   9.1      1079 37.837 -75.469         3.27
 892.3  -4.3 -16.8  37 269   9.2      1083 37.837 -75.469         3.29
 891.8  -4.3 -16.9  37 269   9.3      1087 37.837 -75.469         3.30
 891.2  -4.2 -17.0  36 268   9.3      1092 37.837 -75.469         3.32
 890.7  -4.2 -17.1  36 268   9.4      1097 37.837 -75.469         3.34
 890.1  -4.2 -17.3  35 267   9.5      1101 37.837 -75.469         3.35
